Char      Frequency

          27
’          5
           319
"          4
(          13
)          13
,          18
-          2
.          14
/          1
1          1
4          1
:          1
;          2
A          9
B          1
C          1
D          8
E          1
F          9
H          1
I          11
J          1
K          1
M          1
O          8
P          1
R          8
S          10
T          4
a          134
b          15
c          53
d          61
e          207
f          42
g          19
h          81
i          124
j          3
k          10
l          67
m          48
n          111
o          114
p          32
q          1
r          95
s          104
t          175
u          44
v          16
w          32
x          2
y          27
z          3
